"EID","Tag","TagDate","TagLon","TagLat","TagCL","TagSex","CapDate","CapLon","CapLat","CapCL","CapSex","DAL","SizeDiff","MoltIncr","Molted","z","TagDepth","CapDepth","subarea","degreedays"
6061,44481,1982-09-30,-66.75,44.75,123,3,1983-07-29,-66.7166666666667,44.7333333333333,123,2,302,0,0,0,15.3648888408464,27.0243868610095,3.70539082068331,"38",2010.52308243033
6062,44486,1982-09-30,-66.75,44.75,160,3,1982-11-11,-66.6833333333333,44.8,160,3,42,0,0,0,58.3891548161513,27.0243868610095,89.7539227712932,"38",418.229267701605
6063,44418,1982-09-23,-66.75,44.75,130,3,1984-03-27,-66.6833333333333,44.8,142,2,551,12,0.0923076923076923,1,58.3891548161513,27.0243868610095,89.7539227712932,"38",3737.26436595741
6064,44440,1982-09-25,-66.75,44.75,153,3,1983-07-26,-66.7333333333333,44.7666666666667,153,3,304,0,0,0,24.9317804160062,27.0243868610095,22.8391739710029,"38",1961.27055963238
6065,44361,1982-09-24,-66.7166666666667,44.75,153,3,1982-11-16,-66.7,44.7333333333333,153,3,53,0,0,0,65.66671997929,47.3000433517297,84.0333966068502,"38",533.333400994871
6066,44397,1982-09-23,-66.75,44.75,131,3,1982-11-18,-66.6833333333333,44.8166666666667,131,3,56,0,0,0,64.4599357384396,27.0243868610095,101.89548461587,"38",572.580575126141
6067,44305,1982-09-22,-66.75,44.75,115,3,1982-12-14,-66.6666666666667,44.7,115,3,83,0,0,0,61.6868279019221,27.0243868610095,96.3492689428348,"38",817.234884945012
6068,44326,1982-09-22,-66.75,44.75,116,3,1985-11-26,-66.5833333333333,44.6333333333333,129,3,1161,13,0.112068965517241,1,80.0523491313053,27.0243868610095,133.080311401601,"38",7793.26531113505
6069,44281,1982-09-22,-66.75,44.75,105,3,1982-11-29,-66.6,44.75,105,3,68,0,0,0,77.6101295385112,27.0243868610095,128.195872216013,"38",623.934952913205
6070,44302,1982-09-22,-66.75,44.75,150,3,1982-11-23,-66.6333333333333,44.75,150,3,62,0,0,0,69.4645747493067,27.0243868610095,111.904762637604,"38",604.079323858907
6071,44217,1982-09-15,-66.75,44.75,137,3,1982-11-16,-66.6833333333333,44.8166666666667,137,3,62,0,0,0,64.4599357384396,27.0243868610095,101.89548461587,"38",636.470237834242
6072,44251,1982-09-22,-66.75,44.7833333333333,131,3,1983-05-23,-66.65,44.7,131,3,243,0,0,0,75.0708443975501,46.2294013173462,103.912287477754,"38",1646.44624974386
6073,44255,1982-09-22,-66.75,44.7833333333333,113,3,1982-11-20,-66.6333333333333,44.7333333333333,113,3,59,0,0,0,80.6926502954042,46.2294013173462,115.155899273462,"38",539.297233585053
6074,44267,1982-09-22,-66.75,44.7833333333333,152,3,1983-12-12,-66.6833333333333,44.75,157,2,446,5,0.0328947368421053,0,64.4059164666517,46.2294013173462,82.5824316159572,"38",3479.02855004135
